RSA	RSA_Name	RSR
C0005	PA, Allegheny County [Urban core] [Central] 3	0.57469322
C0006	PA, Westmoreland County [Urban core] [Central] 1	0.544775407
C0007	PA, Pittsburgh [Large rural]	0.579125167
C0008	PA, Fayette County [Urban core]	0.525636531
C0009	PA, Johnstown-Somerset [Suburban]	0.58058553
C0010	PA, Johnstown [Urban core]	0.595472471
C0011	PA, Somerset [Large rural]	0.581018583
C0012	MD-WV, Cumberland [Urban core]	0.56928134
C0013	PA, Butler County [Suburban]	0.521934392
C0014	PA, Indiana [Suburban]	0.580457977
C0015	PA, Erie-Meadville [Large rural]	0.531833609
C0016	PA, Blair County [Urban core] [Central] 1	0.58557238
C0017	PA, Clearfield County [Suburban] [Central] 1	0.58234157
C0018	PA, Indiana [Large rural]	0.555516156
C0019	PA, Clearfield County [Suburban] [Central] 2	0.594674118
C0020	PA, Elk County [Large rural]	0.612347247
C0021	PA, Bradford [Large rural]	0.600831302
C0022	PA, Mercer County [Suburban] [Central] 1	0.556651343
C0023	PA-OH-WV, Pittsburgh-Weirton-Steubenville [Small town/rural]	0.577287117
C0024	PA, Lawrence County [Suburban]	0.600751539
C0025	PA, Hermitage [Urban core]	0.532330244
C0026	PA, Oil City [Suburban]	0.533554339
C0027	PA, Warren [Suburban]	0.584111272
C0028	PA, Erie-Meadville [Suburban]	0.61693271
C0029	PA, Erie-Meadville [Urban core]	0.549056005
C0030	PA, Blair County [Urban core] [Central] 2	0.544966515
C0031	PA, Bradford [Suburban]	0.564129852
C0032	PA, Potter County [Small town/rural]	0.54608324
C0033	PA, State College-DuBois [Urban core]	0.598930095
C0034	PA, Lock Haven [Suburban]	0.60122147
C0035	PA, Williamsport-Lock Haven [Small town/rural]	0.531889164
C0036	PA, Sayre [Suburban]	0.523308648
C0037	PA, Lebanon [Urban core]	0.582221424
C0038	PA, Cumberland County [Urban core]	0.569704536
C0039	PA, Northumberland County [Suburban] [Central] 1	0.596548121
C0040	PA, Dauphin County [Urban core]	0.603104227
C0041	PA, Harrisburg-York-Lebanon [Urban core] [Central]	0.590474222
C0042	PA, Chambersburg [Urban core]	0.634205207
C0043	DC-MD-VA-WV-PA, Washington-Baltimore-Arlington [Small town/rural]	0.578319312
C0044	PA, Gettysburg [Urban core]	0.583051104
C0045	PA, York-Hanover [Urban core]	0.591101251
C0046	PA, Lancaster County [Urban core] [Central]	0.565577009
C0047	PA, Chester County [Urban core] [Central] 1	0.545725839
C0048	PA, Chester County [Urban core] [Central] 2	0.556686445
C0049	PA, Williamsport-Lock Haven [Urban core]	0.60598556
C0050	PA, Bloomsburg-Berwick-Sunbury [Urban core]	0.601365346
C0051	PA, Northumberland County [Suburban] [Central] 2	0.548056136
C0052	PA, Harrisburg-York-Lebanon [Suburban]	0.595464179
C0053	PA, Carbon County [Urban core]	0.590176228
